DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
11/14/2018,8,1,AEEC,RN,534.66,N
11/14/2018,8,1,AMISTAD_ALL,RN,528.33,N
11/14/2018,8,1,AMOCOOIL_CC1,LCCRN,396.93,N
11/14/2018,8,1,AMOCOOIL_CC2,LCCRN,396.93,N
11/14/2018,8,1,AMOCO_PUN1,PUN,396.93,N
11/14/2018,8,1,AMOCO_PUN2,PUN,396.93,N
11/14/2018,8,1,AMO_AMOCO_1,PCCRN,396.93,N
11/14/2018,8,1,AMO_AMOCO_2,PCCRN,396.93,N
11/14/2018,8,1,AMO_AMOCO_5,PCCRN,396.93,N
11/14/2018,8,1,AMO_AMOCO_G1,PCCRN,396.93,N
11/14/2018,8,1,AMO_AMOCO_G2,PCCRN,396.93,N
11/14/2018,8,1,AMO_AMOCO_G3,PCCRN,396.93,N
11/14/2018,8,1,AMO_AMOCO_S1,PCCRN,396.93,N
11/14/2018,8,1,AMO_AMOCO_S2,PCCRN,396.93,N
11/14/2018,8,1,ANACACHO_ANA,RN,525.72,N
11/14/2018,8,1,ATK_ATKINSG7,RN,537.29,N
11/14/2018,8,1,AUSTPL_ALL,RN,523.85,N
11/14/2018,8,1,AZ_ALL,RN,309.97,N
11/14/2018,8,1,BAC_RN_ALL,RN,393.72,N
11/14/2018,8,1,BAFFIN_ALL,RN,732.89,N
11/14/2018,8,1,BASTEN_CC1,LCCRN,522.98,N
11/14/2018,8,1,BASTEN_CCU,PCCRN,522.98,N
11/14/2018,8,1,BBREEZE_1_2,RN,661.05,N
11/14/2018,8,1,BBSES_UNIT1,RN,529.12,N
11/14/2018,8,1,BBSES_UNIT2,RN,529.12,N
11/14/2018,8,1,BCATWD_WD_1,RN,535.64,N
11/14/2018,8,1,BFM_HYD_ST1,RN,351,N
11/14/2018,8,1,BLSMT1_5_A_6,RN,535.1,N
11/14/2018,8,1,BOOTLEG_UN1,RN,531.35,N
11/14/2018,8,1,BORDAS_345,RN,597.65,N
11/14/2018,8,1,BOSQUESW_CC1,LCCRN,536.23,N
11/14/2018,8,1,BOSQUESW_CC2,LCCRN,534.78,N
11/14/2018,8,1,BOSQ_BSQSU_5,PCCRN,534.78,N
11/14/2018,8,1,BOSQ_BSQS_12,PCCRN,534.78,N
11/14/2018,8,1,BOSQ_BSQS_34,PCCRN,536.23,N
11/14/2018,8,1,BRAUNIG_CC1,LCCRN,524.72,N
11/14/2018,8,1,BRAUNIG_VHB1,RN,523.23,N
11/14/2018,8,1,BRAUNIG_VHB2,RN,523.23,N
11/14/2018,8,1,BRAUNIG_VHB3,RN,523.23,N
11/14/2018,8,1,BRAZ_WND_ALL,RN,533.55,N
11/14/2018,8,1,BRA_AVR1_CT2,PCCRN,524.72,N
11/14/2018,8,1,BRA_AVR_CST1,PCCRN,524.72,N
11/14/2018,8,1,BRISCOE_WIND,RN,534.81,N
11/14/2018,8,1,BRTSW_BCW1,RN,537.01,N
11/14/2018,8,1,BR_VHB6CT5_6,RN,523.15,N
11/14/2018,8,1,BR_VHB6CT7_8,RN,523.15,N
11/14/2018,8,1,BSF_PUN1,PUN,475.09,N
11/14/2018,8,1,BSF_PUN2,PUN,475.09,N
11/14/2018,8,1,BTE_BTE_G1,PCCRN,134.05,N
11/14/2018,8,1,BTE_BTE_G2,PCCRN,134.05,N
11/14/2018,8,1,BTE_BTE_G3,PCCRN,134.05,N
11/14/2018,8,1,BTE_BTE_G4,PCCRN,134.05,N
11/14/2018,8,1,BTE_CC1,LCCRN,134.05,N
11/14/2018,8,1,BTE_PUN1,PUN,134.05,N
11/14/2018,8,1,BTE_PUN2,PUN,505.2,N
11/14/2018,8,1,BUCHAN_ALL,RN,527.24,N
11/14/2018,8,1,BUCKTHRN_RN,RN,537.59,N
11/14/2018,8,1,BUFF_GAP_ALL,RN,532.97,N
11/14/2018,8,1,BULLCRK_1_2,RN,533.37,N
11/14/2018,8,1,BVE_CC1,LCCRN,506.82,N
11/14/2018,8,1,BVE_UNIT1,PCCRN,506.82,N
11/14/2018,8,1,BVE_UNIT2,PCCRN,506.82,N
11/14/2018,8,1,BVE_UNIT3,PCCRN,506.82,N
11/14/2018,8,1,BYU_BYU_1,RN,352.94,N
11/14/2018,8,1,BYU_BYU_12,PCCRN,352.94,N
11/14/2018,8,1,BYU_BYU_34,PCCRN,352.94,N
11/14/2018,8,1,BYU_BYU_G8,PCCRN,353.21,N
11/14/2018,8,1,BYU_CC1,LCCRN,352.94,N
11/14/2018,8,1,BYU_PUN1,PUN,352.94,N
11/14/2018,8,1,BYU_PUN2,PUN,352.94,N
11/14/2018,8,1,BYU_PUN3,PUN,352.94,N
11/14/2018,8,1,BYU_PUN4,PUN,352.94,N
11/14/2018,8,1,B_DAVIS_3,PCCRN,3320.19,N
11/14/2018,8,1,B_DAVIS_4,PCCRN,3320.19,N
11/14/2018,8,1,B_DAVIS_CC1,LCCRN,3320.19,N
11/14/2018,8,1,B_D_B_DAVIG1,RN,3320.19,N
11/14/2018,8,1,B_D_B_DAVIG2,PCCRN,3320.19,N
11/14/2018,8,1,CABEZON_ALL,RN,608.75,N
11/14/2018,8,1,CALAVER_JKS1,RN,525.04,N
11/14/2018,8,1,CALAVER_JKS2,RN,525.04,N
11/14/2018,8,1,CALAVER_JTD1,RN,523.42,N
11/14/2018,8,1,CALAVER_JTD2,RN,523.42,N
11/14/2018,8,1,CALAVER_OWS1,RN,523.34,N
11/14/2018,8,1,CALAVER_OWS2,RN,523.2,N
11/14/2018,8,1,CALHOUN_ALL,RN,494.45,N
11/14/2018,8,1,CALLAHA_WND1,RN,533.35,N
11/14/2018,8,1,CAL_ALL,RN,357.19,N
11/14/2018,8,1,CAL_CALGT1,PCCRN,357.19,N
11/14/2018,8,1,CAL_CALSTG1,PCCRN,357.19,N
11/14/2018,8,1,CAL_CC1,LCCRN,357.19,N
11/14/2018,8,1,CAL_PUN1,PUN,357.19,N
11/14/2018,8,1,CAL_PUN2,PUN,357.19,N
11/14/2018,8,1,CAMWIND_RN,RN,676.12,N
11/14/2018,8,1,CAPRIDG4_CR4,RN,532.11,N
11/14/2018,8,1,CAPRIDGE_ALL,RN,532.11,N
11/14/2018,8,1,CARBN_BSP_1,RN,532.96,N
11/14/2018,8,1,CASL_GAP_UN1,RN,531.77,N
11/14/2018,8,1,CBECII_1,PCCRN,500.05,N
11/14/2018,8,1,CBECII_2,PCCRN,500.05,N
11/14/2018,8,1,CBECII_CC3,LCCRN,500.05,N
11/14/2018,8,1,CBEC_ALL,PCCRN,499.53,N
11/14/2018,8,1,CBEC_CC1,LCCRN,499.53,N
11/14/2018,8,1,CBEC_CC2,LCCRN,499.53,N
11/14/2018,8,1,CBY4_ALL,PCCRN,134.01,N
11/14/2018,8,1,CBY4_CC1,LCCRN,134.01,N
11/14/2018,8,1,CBY_CBY_G1,RN,-7.18,N
11/14/2018,8,1,CBY_CBY_G2,RN,243.11,N
11/14/2018,8,1,CCEC_CC1,LCCRN,-140.26,N
11/14/2018,8,1,CCEC_GT1,PCCRN,-140.26,N
11/14/2018,8,1,CCEC_GT2,PCCRN,-140.26,N
