DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
11/14/2018,01:00,AEEC, 30.25,N
11/14/2018,01:00,AMISTAD_ALL, 25.18,N
11/14/2018,01:00,AMOCOOIL_CC1, 29.43,N
11/14/2018,01:00,AMOCOOIL_CC2, 29.43,N
11/14/2018,01:00,AMOCO_PUN1, 29.43,N
11/14/2018,01:00,AMOCO_PUN2, 29.43,N
11/14/2018,01:00,AMO_AMOCO_1, 29.43,N
11/14/2018,01:00,AMO_AMOCO_2, 29.43,N
11/14/2018,01:00,AMO_AMOCO_5, 29.43,N
11/14/2018,01:00,AMO_AMOCO_G1, 29.43,N
11/14/2018,01:00,AMO_AMOCO_G2, 29.43,N
11/14/2018,01:00,AMO_AMOCO_G3, 29.43,N
11/14/2018,01:00,AMO_AMOCO_S1, 29.43,N
11/14/2018,01:00,AMO_AMOCO_S2, 29.43,N
11/14/2018,01:00,ANACACHO_ANA, 27.04,N
11/14/2018,01:00,ATK_ATKINSG7, 30.29,N
11/14/2018,01:00,AUSTPL_ALL, 29.49,N
11/14/2018,01:00,AZ_ALL, 29.41,N
11/14/2018,01:00,BAC_RN_ALL, 29.43,N
11/14/2018,01:00,BAFFIN_ALL, 29.16,N
11/14/2018,01:00,BASTEN_CC1, 29.44,N
11/14/2018,01:00,BASTEN_CCU, 29.44,N
11/14/2018,01:00,BBREEZE_1_2, 29.27,N
11/14/2018,01:00,BBSES_UNIT1, 29.74,N
11/14/2018,01:00,BBSES_UNIT2, 29.74,N
11/14/2018,01:00,BCATWD_WD_1, 30.11,N
11/14/2018,01:00,BFM_HYD_ST1, 29.4,N
11/14/2018,01:00,BLSMT1_5_A_6, 30.17,N
11/14/2018,01:00,BOOTLEG_UN1, 22.86,N
11/14/2018,01:00,BORDAS_345, 29.26,N
11/14/2018,01:00,BOSQUESW_CC1, 29.74,N
11/14/2018,01:00,BOSQUESW_CC2, 29.72,N
11/14/2018,01:00,BOSQ_BSQSU_5, 29.72,N
11/14/2018,01:00,BOSQ_BSQS_12, 29.72,N
11/14/2018,01:00,BOSQ_BSQS_34, 29.74,N
11/14/2018,01:00,BRAUNIG_CC1, 29.1,N
11/14/2018,01:00,BRAUNIG_VHB1, 29.31,N
11/14/2018,01:00,BRAUNIG_VHB2, 29.31,N
11/14/2018,01:00,BRAUNIG_VHB3, 29.11,N
11/14/2018,01:00,BRAZ_WND_ALL, 30.66,N
11/14/2018,01:00,BRA_AVR1_CT2, 29.1,N
11/14/2018,01:00,BRA_AVR_CST1, 29.1,N
11/14/2018,01:00,BRISCOE_WIND, 30.22,N
11/14/2018,01:00,BRTSW_BCW1, 29.98,N
11/14/2018,01:00,BR_VHB6CT5_6, 29.31,N
11/14/2018,01:00,BR_VHB6CT7_8, 29.31,N
11/14/2018,01:00,BSF_PUN1, 29.33,N
11/14/2018,01:00,BSF_PUN2, 29.33,N
11/14/2018,01:00,BTE_BTE_G1, 29.41,N
11/14/2018,01:00,BTE_BTE_G2, 29.41,N
11/14/2018,01:00,BTE_BTE_G3, 29.41,N
11/14/2018,01:00,BTE_BTE_G4, 29.41,N
11/14/2018,01:00,BTE_CC1, 29.41,N
11/14/2018,01:00,BTE_PUN1, 29.41,N
11/14/2018,01:00,BTE_PUN2, 29.41,N
11/14/2018,01:00,BUCHAN_ALL, 28.37,N
11/14/2018,01:00,BUCKTHRN_RN, 29.87,N
11/14/2018,01:00,BUFF_GAP_ALL, 30,N
11/14/2018,01:00,BULLCRK_1_2, 30.85,N
11/14/2018,01:00,BVE_CC1, 29.36,N
11/14/2018,01:00,BVE_UNIT1, 29.36,N
11/14/2018,01:00,BVE_UNIT2, 29.36,N
11/14/2018,01:00,BVE_UNIT3, 29.36,N
11/14/2018,01:00,BYU_BYU_1, 29.4,N
11/14/2018,01:00,BYU_BYU_12, 29.4,N
11/14/2018,01:00,BYU_BYU_34, 29.4,N
11/14/2018,01:00,BYU_BYU_G8, 29.4,N
11/14/2018,01:00,BYU_CC1, 29.4,N
11/14/2018,01:00,BYU_PUN1, 29.4,N
11/14/2018,01:00,BYU_PUN2, 29.4,N
11/14/2018,01:00,BYU_PUN3, 29.4,N
11/14/2018,01:00,BYU_PUN4, 29.4,N
11/14/2018,01:00,B_DAVIS_3, 34.93,N
11/14/2018,01:00,B_DAVIS_4, 34.93,N
11/14/2018,01:00,B_DAVIS_CC1, 34.93,N
11/14/2018,01:00,B_D_B_DAVIG1, 34.93,N
11/14/2018,01:00,B_D_B_DAVIG2, 34.93,N
11/14/2018,01:00,CABEZON_ALL, 29.45,N
11/14/2018,01:00,CALAVER_JKS1, 29.12,N
11/14/2018,01:00,CALAVER_JKS2, 29.12,N
11/14/2018,01:00,CALAVER_JTD1, 29.1,N
11/14/2018,01:00,CALAVER_JTD2, 29.1,N
11/14/2018,01:00,CALAVER_OWS1, 29.31,N
11/14/2018,01:00,CALAVER_OWS2, 29.31,N
11/14/2018,01:00,CALHOUN_ALL, 35.21,N
11/14/2018,01:00,CALLAHA_WND1, 30.03,N
11/14/2018,01:00,CAL_ALL, 29.41,N
11/14/2018,01:00,CAL_CALGT1, 29.41,N
11/14/2018,01:00,CAL_CALSTG1, 29.41,N
11/14/2018,01:00,CAL_CC1, 29.41,N
11/14/2018,01:00,CAL_PUN1, 29.41,N
11/14/2018,01:00,CAL_PUN2, 29.41,N
11/14/2018,01:00,CAMWIND_RN, 29.31,N
11/14/2018,01:00,CAPRIDG4_CR4, 29.83,N
11/14/2018,01:00,CAPRIDGE_ALL, 29.83,N
11/14/2018,01:00,CARBN_BSP_1, 33.28,N
11/14/2018,01:00,CASL_GAP_UN1, 18.75,N
11/14/2018,01:00,CBECII_1, 29.32,N
11/14/2018,01:00,CBECII_2, 29.32,N
11/14/2018,01:00,CBECII_CC3, 29.32,N
11/14/2018,01:00,CBEC_ALL, 29.24,N
11/14/2018,01:00,CBEC_CC1, 29.24,N
11/14/2018,01:00,CBEC_CC2, 29.24,N
11/14/2018,01:00,CBY4_ALL, 29.41,N
11/14/2018,01:00,CBY4_CC1, 29.41,N
11/14/2018,01:00,CBY_CBY_G1, 29.41,N
11/14/2018,01:00,CBY_CBY_G2, 29.41,N
11/14/2018,01:00,CCEC_CC1, 35.95,N
11/14/2018,01:00,CCEC_GT1, 35.95,N
11/14/2018,01:00,CCEC_GT2, 35.95,N
11/14/2018,01:00,CCEC_PUN1, 35.95,N
11/14/2018,01:00,CCEC_PUN2, 35.95,N
11/14/2018,01:00,CCEC_ST1, 35.95,N
11/14/2018,01:00,CEDROHI_CHW1, 30.03,N
11/14/2018,01:00,CFLATS_UNIT, 29.1,N
11/14/2018,01:00,CHAMON_UN1, 29.42,N
11/14/2018,01:00,CHAMON_UN2, 29.42,N
11/14/2018,01:00,CHEDPW_GT2, 29.43,N
11/14/2018,01:00,CHE_CC1, 29.42,N
11/14/2018,01:00,CHE_LYD, 29.41,N
11/14/2018,01:00,CHE_LYD2, 29.41,N
11/14/2018,01:00,CHE_PUN1, 29.41,N
11/14/2018,01:00,CHE_PUN2, 29.41,N
11/14/2018,01:00,COL_COLETOG1, 29.24,N
11/14/2018,01:00,COTPLNS_RN, 30.25,N
11/14/2018,01:00,COTTON_PAP2, 36.15,N
11/14/2018,01:00,CPSES_UNIT1, 29.89,N
11/14/2018,01:00,CPSES_UNIT2, 29.89,N
11/14/2018,01:00,CSC_CSECG1_2, 30.63,N
11/14/2018,01:00,CVC_CC1, 29.43,N
11/14/2018,01:00,CVC_CVCG1_5, 29.43,N
11/14/2018,01:00,CVC_CVC_G2, 29.43,N
11/14/2018,01:00,CVC_CVC_G3, 29.43,N
11/14/2018,01:00,DANSBY_ALL, 30.39,N
11/14/2018,01:00,DC2SES_ALL, 29.89,N
11/14/2018,01:00,DC_E, 29.89,N
11/14/2018,01:00,DC_L, 29.48,N
11/14/2018,01:00,DC_N, 30.15,N
11/14/2018,01:00,DC_R, 31.99,N
11/14/2018,01:00,DC_S, 26.88,N
11/14/2018,01:00,DDPEC_CC1, 29.4,N
11/14/2018,01:00,DDPEC_GT1, 29.4,N
11/14/2018,01:00,DDPEC_GT2, 29.4,N
11/14/2018,01:00,DDPEC_GT3, 29.4,N
11/14/2018,01:00,DDPEC_GT4, 29.4,N
11/14/2018,01:00,DDPEC_GT6, 29.4,N
11/14/2018,01:00,DDPEC_ST1, 29.4,N
11/14/2018,01:00,DECKER_DPG1, 29.49,N
11/14/2018,01:00,DECKER_DPG2, 29.49,N
11/14/2018,01:00,DECKER_GT, 29.49,N
11/14/2018,01:00,DENISON_G1_2, 29.9,N
11/14/2018,01:00,DERMOTT_ALL, 30.44,N
11/14/2018,01:00,DIB_CC1, 29.41,N
11/14/2018,01:00,DIB_DIB_G1, 29.41,N
11/14/2018,01:00,DIB_DIB_G2, 29.41,N
11/14/2018,01:00,DIB_DIB_G3, 29.41,N
11/14/2018,01:00,DIB_DIB_G4, 29.41,N
11/14/2018,01:00,DIB_PUN1, 29.41,N
11/14/2018,01:00,DIB_PUN2, 29.41,N
11/14/2018,01:00,DOWGEN_PUN1, 29.33,N
11/14/2018,01:00,DOWGEN_PUN2, 29.33,N
11/14/2018,01:00,DOWGEN_PUN3, 29.33,N
11/14/2018,01:00,DOW_61_2_63, 29.33,N
11/14/2018,01:00,DOW_64, 29.33,N
11/14/2018,01:00,DOW_81_2_84, 29.33,N
11/14/2018,01:00,DOW_G37_G35, 29.33,N
11/14/2018,01:00,DOW_G66_ST65, 29.33,N
11/14/2018,01:00,DOW_G67, 29.33,N
11/14/2018,01:00,DOW_G96_ST95, 29.33,N
11/14/2018,01:00,DUKE_CC1, 28.99,N
11/14/2018,01:00,DUKE_GST1CCU, 28.99,N
11/14/2018,01:00,DUKE_GT2_CCU, 28.99,N
11/14/2018,01:00,DUP_DUPV1_G1, 34.88,N
11/14/2018,01:00,DUP_PUN1, 34.88,N
11/14/2018,01:00,DUP_PUN2, 34.88,N
11/14/2018,01:00,DUP_PUN3, 34.88,N
11/14/2018,01:00,DUP_PUN4, 34.88,N
11/14/2018,01:00,ECLIPSE_UN1, 26.48,N
11/14/2018,01:00,ELB_ELBCREEK, 31.1,N
11/14/2018,01:00,ELECTRAW_1_2, 30.15,N
11/14/2018,01:00,ENAS_ENA1, 30.83,N
11/14/2018,01:00,ETCCS_CC1, 29.82,N
11/14/2018,01:00,ETCCS_CCU, 29.82,N
11/14/2018,01:00,EXGNSND_RN, 30.3,N
11/14/2018,01:00,EXGNWTL_1, 30.03,N
11/14/2018,01:00,EXN_14, 29.41,N
11/14/2018,01:00,EXN_1_3, 29.41,N
11/14/2018,01:00,EXN_4, 29.41,N
11/14/2018,01:00,EXN_8, 29.41,N
11/14/2018,01:00,EXN_9_13, 29.41,N
11/14/2018,01:00,EXN_PUN1, 29.41,N
11/14/2018,01:00,EXN_PUN2, 29.41,N
11/14/2018,01:00,EXN_PUN3, 29.41,N
