name,value
AMISTAD_ALL,23.96
AMOCOOIL_CC1,23.43
AMOCOOIL_CC2,23.43
AMOCO_PUN1,23.43
AMOCO_PUN2,23.43
AMO_AMOCO_1,23.43
AMO_AMOCO_2,23.43
AMO_AMOCO_5,23.43
AMO_AMOCO_G1,23.43
AMO_AMOCO_G2,23.43
AMO_AMOCO_G3,23.43
AMO_AMOCO_S1,23.43
AMO_AMOCO_S2,23.43
ANACACHO_ANA,23.36
ATK_ATKINSG7,23.37
AUSTPL_ALL,23.41
AZ_ALL,23.42
BAC_RN_ALL,23.43
BAFFIN_ALL,22.03
BASTEN_CC1,23.41
BASTEN_CCU,23.41
BBREEZE_1_2,22.07
BBSES_UNIT1,23.3
BBSES_UNIT2,23.3
BCATWD_WD_1,23.44
BFM_HYD_ST1,23.43
BLSMT1_5_A_6,23.24
BOOTLEG_UN1,21.96
BORDAS_345,22.18
BOSQUESW_CC1,23.71
BOSQUESW_CC2,23.55
BOSQ_BSQSU_5,23.55
BOSQ_BSQS_12,23.55
BOSQ_BSQS_34,23.71
BRAUNIG_CC1,22.59
BRAUNIG_VHB1,22.7
BRAUNIG_VHB2,22.7
BRAUNIG_VHB3,22.7
BRAZ_WND_ALL,24.31
BRA_AVR1_CT2,22.59
BRA_AVR_CST1,22.59
BRISCOE_WIND,23.21
BRTSW_BCW1,23.81
BR_VHB6CT5_6,22.72
BR_VHB6CT7_8,22.72
BSF_PUN1,23.46
BSF_PUN2,23.46
BTE_BTE_G1,23.42
BTE_BTE_G2,23.42
BTE_BTE_G3,23.42
BTE_BTE_G4,23.42
BTE_CC1,23.42
BTE_PUN1,23.42
BTE_PUN2,23.42
BUCHAN_ALL,23.39
BUCKTHRN_RN,24.04
BUFF_GAP_ALL,23.42
BULLCRK_1_2,23.91
BVE_CC1,23.43
BVE_UNIT1,23.43
BVE_UNIT2,23.43
BVE_UNIT3,23.43
BYU_BYU_1,23.43
BYU_BYU_12,23.43
BYU_BYU_34,23.43
BYU_BYU_G8,23.43
BYU_CC1,23.43
BYU_PUN1,23.43
BYU_PUN2,23.43
BYU_PUN3,23.43
BYU_PUN4,23.43
B_DAVIS_3,22.27
B_DAVIS_4,22.27
B_DAVIS_CC1,22.27
B_D_B_DAVIG1,22.27
B_D_B_DAVIG2,22.27
CABEZON_ALL,22.15
CALAVER_JKS1,22.54
CALAVER_JKS2,22.54
CALAVER_JTD1,22.68
CALAVER_JTD2,22.68
CALAVER_OWS1,22.69
CALAVER_OWS2,22.69
CALHOUN_ALL,28.39
CALLAHA_WND1,23.66
CAL_ALL,23.42
CAL_CALGT1,23.42
CAL_CALSTG1,23.42
CAL_CC1,23.42
CAL_PUN1,23.42
CAL_PUN2,23.42
CAMWIND_RN,22.07
CAPRIDG4_CR4,23.56
CAPRIDGE_ALL,23.56
CARBN_BSP_1,30.91
CASL_GAP_UN1,28.91
CBECII_1,23.42
CBECII_2,23.42
CBECII_CC3,23.42
CBEC_ALL,23.82
CBEC_CC1,23.82
CBEC_CC2,23.82
CBY4_ALL,23.42
CBY4_CC1,23.42
CBY_CBY_G1,23.42
CBY_CBY_G2,23.42
CCEC_CC1,22.38
CCEC_GT1,22.38
CCEC_GT2,22.38
CCEC_PUN1,22.38
CCEC_PUN2,22.38
CCEC_ST1,22.38
CEDROHI_CHW1,22.27
CFLATS_UNIT,23.41
CHAMON_UN1,23.42
CHAMON_UN2,23.42
CHEDPW_GT2,23.42
CHE_CC1,23.42
CHE_LYD,23.42
CHE_LYD2,23.42
CHE_PUN1,23.42
CHE_PUN2,23.42
COL_COLETOG1,18.75
COTPLNS_RN,23.21
COTTON_PAP2,22.35
CPSES_UNIT1,22.92
CPSES_UNIT2,22.92
CSC_CSECG1_2,24.15
CVC_CC1,23.42
CVC_CVCG1_5,23.42
CVC_CVC_G2,23.42
CVC_CVC_G3,23.42
DANSBY_ALL,23.36
DC2SES_ALL,24.02
DC_E,23.29
DC_L,22.3
DC_N,23.25
DC_R,22.09
DC_S,23.4
DDPEC_CC1,23.42
DDPEC_GT1,23.42
DDPEC_GT2,23.42
DDPEC_GT3,23.42
DDPEC_GT4,23.42
DDPEC_GT6,23.42
DDPEC_ST1,23.42
DECKER_DPG1,23.41
DECKER_DPG2,23.41
DECKER_GT,23.42
DENISON_G1_2,23.3
DERMOTT_ALL,23.17
DIB_CC1,23.42
DIB_DIB_G1,23.42
DIB_DIB_G2,23.42
DIB_DIB_G3,23.42
DIB_DIB_G4,23.42
DIB_PUN1,23.42
DIB_PUN2,23.42
DOWGEN_PUN1,23.44
DOWGEN_PUN2,23.44
DOWGEN_PUN3,23.44
DOW_61_2_63,23.44
DOW_64,23.44
DOW_81_2_84,23.44
DOW_G37_G35,23.44
DOW_G66_ST65,23.44
DOW_G67,23.44
DOW_G96_ST95,23.44
DUKE_CC1,22.09
DUKE_GST1CCU,22.09
DUKE_GT2_CCU,22.09
DUP_DUPV1_G1,29.39
DUP_PUN1,29.39
DUP_PUN2,29.39
DUP_PUN3,29.39
DUP_PUN4,29.39
ECLIPSE_UN1,23.54
ELB_ELBCREEK,19.06
ELECTRAW_1_2,23.24
ENAS_ENA1,25.14
ETCCS_CC1,23.58
ETCCS_CCU,23.58
EXGNSND_RN,22.21
EXGNWTL_1,22.27
EXN_14,23.42
EXN_1_3,23.42
EXN_4,23.42
EXN_8,23.42
EXN_9_13,23.42
EXN_PUN1,23.42
EXN_PUN2,23.42
EXN_PUN3,23.42
FAL_FALCONG1,22.16
FAL_FALCONG2,22.16
FAL_FALCONG3,22.16
FEGC_RN,23.44
FERGCC_CC1,23.37
FERGCC_GT1_1,23.37
FERGCC_GT2_3,23.37
FERGCC_ST1_5,23.37
FERMI_ALL,24.14
FLCNS_CC1,30.7
FLCNS_UNIT1,30.7
FLCNS_UNIT2,30.7
FLCNS_UNIT3,30.7
FLTCK_SSI,23.87
FLUVANNA_1_2,23.44
FORMOSA_CC1,28.25
FORMOSA_PUN1,28.25
FORMOSA_PUN2,28.25
FO_FORMOSA11,28.25
FO_FORMOSA12,28.25
FO_FORMOSG1,28.25
FO_FORMOSG10,28.25
FO_FORMOSG2,28.25
FO_FORMOSG3,28.25
FO_FORMOSG4,28.25
FO_FORMOSG5,28.25
FO_FORMOSG6,28.25
FO_FORMOSG7,28.25
FO_FORMOSG8,28.25
FO_FORMOSG9,28.25
FPPYD_FPP_G1,23.58
FPPYD_FPP_G2,23.58
FPPYD_FPP_G3,23.58
FREC_1_CCU,23.3
FREC_2_CCU,23.29
FREC_CC1,23.3
FREC_CC2,23.29
FRNYPP_1_CCU,23.3
FRNYPP_2_CCU,23.3
FRNYPP_CC1,23.3
FRNYPP_CC2,23.3
FTR_CC1,23.39
FTR_FTR_G1_4,23.39
FTWIND_UNIT1,23.47
GBY_GBY_5,23.42
GBY_GT,23.42
GIB_GIB_CRG1,23.38
GID_GIDEONG1,23.54
GID_GIDEONG2,23.54
GID_GIDEONG3,23.54
GOA_GOATWIND,23.5
GPASTURE_ALL,23.26
GRANDVW1_A_B,23.21
GRSES_UNIT1,23.56
GRSES_UNIT2,23.22
GUADG_CC1,22.63
GUADG_CC2,22.63
GUADG_CCU1,22.63
GUADG_CCU2,22.63
GUNMTN_NODE,30.94
GWEC_G1,23.48
HAYSEN1_2,23.3
HAYSEN3_4,23.3
