name,lmp
AMISTAD_ALL,25.01
AMOCOOIL_CC1,24.51
AMOCOOIL_CC2,24.51
AMOCO_PUN1,24.51
AMOCO_PUN2,24.51
AMO_AMOCO_1,24.51
AMO_AMOCO_2,24.51
AMO_AMOCO_5,24.51
AMO_AMOCO_G1,24.51
AMO_AMOCO_G2,24.51
AMO_AMOCO_G3,24.51
AMO_AMOCO_S1,24.51
AMO_AMOCO_S2,24.51
ANACACHO_ANA,24.34
ATK_ATKINSG7,24.43
AUSTPL_ALL,24.53
AZ_ALL,24.49
BAC_RN_ALL,24.51
BAFFIN_ALL,22.8
BASTEN_CC1,24.52
BASTEN_CCU,24.52
BBREEZE_1_2,22.85
BBSES_UNIT1,24.3
BBSES_UNIT2,24.3
BCATWD_WD_1,24.84
BFM_HYD_ST1,24.5
BLSMT1_5_A_6,24.26
BOOTLEG_UN1,22.95
BORDAS_345,22.98
BOSQUESW_CC1,25.76
BOSQUESW_CC2,25.18
BOSQ_BSQSU_5,25.18
BOSQ_BSQS_12,25.18
BOSQ_BSQS_34,25.76
BRAUNIG_CC1,23.49
BRAUNIG_VHB1,23.64
BRAUNIG_VHB2,23.64
BRAUNIG_VHB3,23.64
BRAZ_WND_ALL,25.44
BRA_AVR1_CT2,23.49
BRA_AVR_CST1,23.49
BRISCOE_WIND,24.23
BRTSW_BCW1,26.11
BR_VHB6CT5_6,23.66
BR_VHB6CT7_8,23.66
BSF_PUN1,24.55
BSF_PUN2,24.55
BTE_BTE_G1,24.49
BTE_BTE_G2,24.49
BTE_BTE_G3,24.49
BTE_BTE_G4,24.49
BTE_CC1,24.49
BTE_PUN1,24.49
BTE_PUN2,24.49
BUCHAN_ALL,24.57
BUCKTHRN_RN,26.94
BUFF_GAP_ALL,24.55
BULLCRK_1_2,25.01
BVE_CC1,24.5
BVE_UNIT1,24.5
BVE_UNIT2,24.5
BVE_UNIT3,24.5
BYU_BYU_1,24.5
BYU_BYU_12,24.5
BYU_BYU_34,24.5
BYU_BYU_G8,24.5
BYU_CC1,24.5
BYU_PUN1,24.5
BYU_PUN2,24.5
BYU_PUN3,24.5
BYU_PUN4,24.5
B_DAVIS_3,23.1
B_DAVIS_4,23.1
B_DAVIS_CC1,23.1
B_D_B_DAVIG1,23.1
B_D_B_DAVIG2,23.1
CABEZON_ALL,22.94
CALAVER_JKS1,23.43
CALAVER_JKS2,23.43
CALAVER_JTD1,23.61
CALAVER_JTD2,23.61
CALAVER_OWS1,23.63
CALAVER_OWS2,23.63
CALHOUN_ALL,30.65
CALLAHA_WND1,24.88
CAL_ALL,24.5
CAL_CALGT1,24.5
CAL_CALSTG1,24.5
CAL_CC1,24.5
CAL_PUN1,24.5
CAL_PUN2,24.5
CAMWIND_RN,22.84
CAPRIDG4_CR4,24.66
CAPRIDGE_ALL,24.66
CARBN_BSP_1,32.47
CASL_GAP_UN1,30.33
CBECII_1,24.5
CBECII_2,24.5
CBECII_CC3,24.5
CBEC_ALL,24.99
CBEC_CC1,24.99
CBEC_CC2,24.99
CBY4_ALL,24.49
CBY4_CC1,24.49
CBY_CBY_G1,24.49
CBY_CBY_G2,24.49
CCEC_CC1,23.23
CCEC_GT1,23.23
CCEC_GT2,23.23
CCEC_PUN1,23.23
CCEC_PUN2,23.23
CCEC_ST1,23.23
CEDROHI_CHW1,23.09
CFLATS_UNIT,24.52
CHAMON_UN1,24.49
CHAMON_UN2,24.49
CHEDPW_GT2,24.49
CHE_CC1,24.49
CHE_LYD,24.49
CHE_LYD2,24.49
CHE_PUN1,24.49
CHE_PUN2,24.49
COL_COLETOG1,18.75
COTPLNS_RN,24.22
COTTON_PAP2,23.19
CPSES_UNIT1,23.05
CPSES_UNIT2,23.05
CSC_CSECG1_2,25.26
CVC_CC1,24.49
CVC_CVCG1_5,24.49
CVC_CVC_G2,24.49
CVC_CVC_G3,24.49
DANSBY_ALL,24.43
DC2SES_ALL,26.96
DC_E,24.35
DC_L,23.12
DC_N,24.27
DC_R,22.87
DC_S,24.38
DDPEC_CC1,24.5
DDPEC_GT1,24.5
DDPEC_GT2,24.5
DDPEC_GT3,24.5
DDPEC_GT4,24.5
DDPEC_GT6,24.5
DDPEC_ST1,24.5
DECKER_DPG1,24.54
DECKER_DPG2,24.54
DECKER_GT,24.55
DENISON_G1_2,24.39
DERMOTT_ALL,24.2
DIB_CC1,24.5
DIB_DIB_G1,24.5
DIB_DIB_G2,24.5
DIB_DIB_G3,24.5
DIB_DIB_G4,24.5
DIB_PUN1,24.5
DIB_PUN2,24.5
DOWGEN_PUN1,24.53
DOWGEN_PUN2,24.53
DOWGEN_PUN3,24.53
DOW_61_2_63,24.53
DOW_64,24.53
DOW_81_2_84,24.53
DOW_G37_G35,24.53
DOW_G66_ST65,24.53
DOW_G67,24.53
DOW_G96_ST95,24.53
DUKE_CC1,22.87
DUKE_GST1CCU,22.87
DUKE_GT2_CCU,22.87
DUP_DUPV1_G1,31.88
DUP_PUN1,31.88
DUP_PUN2,31.88
DUP_PUN3,31.88
DUP_PUN4,31.88
ECLIPSE_UN1,24.54
ELB_ELBCREEK,19.86
ELECTRAW_1_2,24.27
ENAS_ENA1,26.32
ETCCS_CC1,25.37
ETCCS_CCU,25.37
EXGNSND_RN,23.02
EXGNWTL_1,23.09
EXN_14,24.49
EXN_1_3,24.49
EXN_4,24.49
EXN_8,24.49
EXN_9_13,24.49
EXN_PUN1,24.49
EXN_PUN2,24.49
EXN_PUN3,24.49
FAL_FALCONG1,22.95
FAL_FALCONG2,22.95
FAL_FALCONG3,22.95
FEGC_RN,24.52
FERGCC_CC1,24.53
FERGCC_GT1_1,24.53
FERGCC_GT2_3,24.53
FERGCC_ST1_5,24.53
FERMI_ALL,25.22
FLCNS_CC1,32.23
FLCNS_UNIT1,32.23
FLCNS_UNIT2,32.23
FLCNS_UNIT3,32.23
FLTCK_SSI,26.2
FLUVANNA_1_2,24.5
FORMOSA_CC1,30.48
FORMOSA_PUN1,30.48
FORMOSA_PUN2,30.48
FO_FORMOSA11,30.48
FO_FORMOSA12,30.48
FO_FORMOSG1,30.48
FO_FORMOSG10,30.48
FO_FORMOSG2,30.48
FO_FORMOSG3,30.48
FO_FORMOSG4,30.48
FO_FORMOSG5,30.48
FO_FORMOSG6,30.48
FO_FORMOSG7,30.48
FO_FORMOSG8,30.48
FO_FORMOSG9,30.48
FPPYD_FPP_G1,24.73
FPPYD_FPP_G2,24.73
FPPYD_FPP_G3,24.73
FREC_1_CCU,24.34
FREC_2_CCU,24.29
FREC_CC1,24.34
FREC_CC2,24.29
FRNYPP_1_CCU,24.37
FRNYPP_2_CCU,24.37
FRNYPP_CC1,24.37
FRNYPP_CC2,24.37
FTR_CC1,24.44
FTR_FTR_G1_4,24.44
FTWIND_UNIT1,24.77
