lng,lat,value,name
-101.840651,33.863537,1000,AEEC
-101.057678,29.449941,1000,AMISTAD_ALL
-94.932678,29.378137,500,AMOCO_PUN1
-100.15802,29.215214,1000,ANACACHO_ANA
-96.372211,30.647455,1000,ATK_ATKINSG7
-97.784797,30.293931,1000,AUSTPL_ALL
-95.071478,29.702014,500,AZ_ALL
-97.310196,27.607441,9000,B_DAVIS_3
-94.982578,29.486899,500,BAC_RN_ALL
-97.528657,27.103234,1000,BAFFIN_ALL
-97.549784,30.146278,1000,BASTEN_CCU
-97.636329,26.500956,1000,BBREEZE_1_2
-96.055349,31.820607,1000,BBSES_UNIT1
-98.570491,33.509188,1000,BCATWD_WD_1
-99.367467,34.293473,1000,BLSMT1_5_A_6
-102.291039,31.033424,1000,BOOTLEG_UN1
-98.931877,27.358092,1000,BORDAS_345
-97.357824,31.859464,1000,BOSQ_BSQSU_5
-98.381978,29.256832,1000,BRAUNIG_VHB1
-101.146911,32.949884,1000,BRAZ_WND_ALL
-101.374278,34.371453,1000,BRISCOE_WIND
-98.363595,33.073455,1000,BRTSW_BCW1
-95.395136,29.001102,500,BSF_PUN1
-94.903122,29.772016,140,BTE_PUN1
-98.417931,30.751282,1000,BUCHAN_ALL
-98.353682,32.376956,1000,BUCKTHRN_RN
-100.115386,32.298543,1000,BUFF_GAP_ALL
-101.605095,32.906769,1000,BULLCRK_1_2
-95.6233,29.472546,1000,BVE_UNIT1
-95.047586,29.623248,500,BYU_PUN1
-95.177016,29.731568,500,CAL_PUN1
-98.319737,29.308852,1000,CALAVER_JKS1
-96.552755,28.683052,500,CALHOUN_ALL
-99.995602,32.296385,1000,CALLAHA_WND1
-97.465774,26.194815,1000,CAMWIND_RN
-100.928076,31.926188,1000,CAPRIDG4_CR4
-101.40123,32.273974,1000,CARBN_BSP_1
-102.30884,31.259419,1000,CASL_GAP_UN1
-96.069042,29.289073,500,CBEC_ALL
-96.068816,29.287854,1000,CBECII_1
-94.924253,29.750469,140,CBY4_ALL
-97.429057,27.81204,-100,CCEC_PUN1
-98.843784,27.608743,1000,CEDROHI_CHW1
-100.060601,31.097592,1000,CFLATS_UNIT
-95.104872,29.876916,1000,CHAMON_UN1
-95.233636,29.710523,500,CHE_PUN1
-97.213174,28.71506,1000,COL_COLETOG1
-101.184903,33.979043,1000,COTPLNS_RN
-97.424589,27.950722,80,COTTON_PAP2
-97.78547,32.298759,1000,CPSES_UNIT1
-100.83267,32.753102,1000,CSC_CSECG1_2
-96.460658,30.721863,1000,DANSBY_ALL
-97.699502,32.403234,1000,DC2SES_ALL
-97.612682,30.304289,1000,DECKER_DPG1
-96.56924,33.817847,1000,DENISON_G1_2
-100.975986,32.864857,1000,DERMOTT_ALL
-95.085844,29.723605,500,DIB_PUN1
-95.388828,28.982454,500,DOWGEN_PUN1
-98.175072,26.342236,1000,DUKE_GST1CCU
-96.954831,28.674719,500,DUP_PUN1
-100.393714,29.324061,1000,ECLIPSE_UN1
-101.398767,32.140883,1000,ELB_ELBCREEK
-99.117156,34.101749,1000,ELECTRAW_1_2
-100.735316,32.73004,1000,ENAS_ENA1
-96.674723,32.319935,100,ETCCS_CCU
-98.909318,27.191033,1000,EXGNSND_RN
-99.005594,27.506281,1000,EXGNWTL_1
-95.011588,29.756264,500,EXN_PUN1
-99.161754,26.558077,1000,FAL_FALCONG1
-95.446822,29.639945,500,FEGC_RN
-98.374899,30.5539,1000,FERGCC_GT1_1
-100.711921,29.76559,1000,FERMI_ALL
-101.421301,32.27251,1000,FLCNS_UNIT1
-98.46429,32.33178,1000,FLTCK_SSI
-101.157666,32.889822,1000,FLUVANNA_1_2
-96.539894,28.649435,500,FO_FORMOSA11
-96.540798,28.695107,500,FORMOSA_PUN1
-96.750626,29.916026,1000,FPPYD_FPP_G1
-96.111612,31.890452,1000,FREC_1_CCU
-96.490885,32.756605,1000,FRNYPP_1_CCU
-95.918071,30.592818,1000,FTR_FTR_G1_4
-98.623858,31.688285,1000,FTWIND_UNIT1
-95.219433,29.82163,1000,GBY_GBY_5
-96.081494,30.620015,1000,GIB_GIB_CRG1
-97.270469,30.147132,1000,GID_GIDEONG1
-100.861431,31.909922,1000,GOA_GOATWIND
-99.368737,33.673808,1000,GPASTURE_ALL
-101.36045,35.25418,1000,GRANDVW1_A_B
-98.61206,33.134983,1000,GRSES_UNIT1
-98.148424,29.620519,1000,GUADG_CCU1
-101.410181,32.196647,1000,GUNMTN_NODE
-98.56649,31.43098,1000,GWEC_G1
-97.989828,29.781215,1000,HAYSEN1_2
-99.69967,29.226574,1000,HELIOS_RN
-98.88706,29.985029,1000,HHGT_KENDAL
-100.040198,32.226344,1000,HHOLLW2_WND1
-101.350471,31.123879,1000,HICK_G1_G2
-97.218583,32.727726,1000,HLSES_UNIT3
-99.552687,33.289897,1000,HORSECRK_RN
-103.36537,30.94724,1000,HOVEY_GEN
-102.30457,34.77335,1000,HRFDWIND_ALL
-99.278334,32.824168,1000,HWF_HWFG1
-102.092793,30.915068,1000,IN_INDNENR
-100.596358,32.497305,1000,IND_INADALE1
-102.040987,30.925602,1000,INDN_INDNNWP
-97.241628,27.886542,90,INGLCO_PUN1
-98.385177,30.731403,1000,INKS_INKS_G1
-97.956,33.102714,1000,JACKCNTY_CT1
-98.217426,33.113825,1000,KEECHI_U1
-102.365451,30.822282,1000,KEO_KEO_SM1
-102.237844,31.237908,1000,KING_KINGNE
-101.956368,32.752391,1000,LAMESASLR_G
-99.508432,27.566927,1000,LARDVFTN_G4
-103.523823,30.367505,9000,LASSO_GEN
-96.252773,31.423076,1000,LEG_LEG_G1
-98.575478,29.351602,1000,LEONLCPCT1_2
-94.743933,31.366025,1000,LFBIO_UNIT1
-100.610184,31.095183,1000,LGD_LANGFORD
-98.686627,31.847096,1000,LGW_UNIT_ALL
-95.119736,29.831805,500,LHM_PUN1
-101.307401,34.345076,1000,LHORN_N_U1_2
