lng,lat,spp,name,spp_rtm,spp_dam
-103.523823,30.367505,-353.38,LASSO_GEN,43.78,397.16
-103.36537,30.94724,-51.37,HOVEY_GEN,43.71,95.08
-102.963513,31.585285,-36.449999999999996,PB2SES_CT1,43.57,80.02
-102.831362,30.894621,-53.419999999999995,REROCK_ALL,43.74,97.16
-102.796692,32.044332,-47.739999999999995,NWF_NWF1,43.53,91.27
-102.731278,30.988194,-62.559999999999995,RIGGIN_UNIT1,43.85,106.41
-102.680928,32.04168,-29.319999999999993,RN_ECEC_HOLT,43.53,72.85
-102.670416,34.677698,-28.979999999999997,MARIAH_ALL,42.99,71.97
-102.365451,30.822282,-24.60000000000001,KEO_KEO_SM1,44.08,68.68
-102.326074,31.839086000000002,-28.560000000000002,OECCS_1,43.55,72.11
-102.315635,31.84202,-28.57,QALSW_ALL,43.54,72.11
-102.30884,31.259419,-25.9,CASL_GAP_UN1,43.99,69.89
-102.30457,34.77335,-28.979999999999997,HRFDWIND_ALL,42.99,71.97
-102.298526,31.23131,-25.9,SPTX12B_RN,43.99,69.89
-102.291255,30.885117,-24.740000000000002,SIRIUS_UNIT1,44.23,68.97
-102.291039,31.033424,-26.480000000000004,BOOTLEG_UN1,44.03,70.51
-102.237844,31.237908,-23.68,WOO_WOODWRD2,44.07,67.75
-102.1834,35.22615,-28.979999999999997,SSPURT_WIND1,42.99,71.97
-102.12019600000001,31.084274,-25.72,SW_M_SW_MESA,44.03,69.75
-102.092793,30.915068,-24.909999999999997,IN_INDNENR,44.44,69.35
-102.040987,30.925602,-24.820000000000007,INDN_INDNNWP,44.33,69.15
-101.956368,32.752391,-29.010000000000005,LAMESASLR_G,43.36,72.37
-101.840651,33.863537,-28.910000000000004,AEEC,43.01,71.92
-101.838132,32.239915,-28.510000000000005,SWEC_G1,43.41,71.92
-101.683502,32.669103,-28.559999999999995,MESQCRK_ALL,43.29,71.85
-101.605095,32.906769,-29.78000000000001,BULLCRK_1_2,43.26,73.04
-101.592308,32.946879,-28.559999999999995,SRWE1_UNIT1,43.29,71.85
-101.530192,31.766443,-28.22,NBOHR_RN,43.44,71.66
-101.527459,35.214192,-28.979999999999997,ROUTE66_RN,42.99,71.97
-101.479464,32.169353,-28.450000000000003,RN_TOSBATT,43.39,71.84
-101.469954,32.137619,-28.510000000000005,PC_NORTH_1,43.41,71.92
-101.421301,32.27251,-28.43999999999999,FLCNS_UNIT1,43.38,71.82
-101.410181,32.196647,-28.749999999999993,GUNMTN_NODE,43.35,72.1
-101.406179,31.689029,-28.22,RSK_RN,43.44,71.66
-101.40123,32.273974,-28.540000000000006,CARBN_BSP_1,43.36,71.9
-101.398767,32.140883,-28.510000000000005,ELB_ELBCREEK,43.41,71.92
-101.37874,32.106742,-28.42,OWF_OWF,43.42,71.84
-101.374278,34.371453,-28.97,BRISCOE_WIND,43,71.97
-101.37118100000001,34.147577,-28.910000000000004,SPLAIN1_RN,43.01,71.92
-101.370029,34.083655,-28.910000000000004,SPLAIN2_RN,43.01,71.92
-101.36045,35.25418,-28.979999999999997,GRANDVW1_A_B,42.99,71.97
-101.360276,32.240606,-28.490000000000002,SGM_SIGNALMT,43.37,71.86
-101.350471,31.123879,-26.560000000000002,HICK_G1_G2,44.25,70.81
-101.307401,34.345076,-28.97,LHORN_N_U1_2,43,71.97
-101.280114,32.024824,-28.470000000000006,MCDLD_FCSBW1,43.4,71.87
-101.22708,32.911705,-28.529999999999994,RDCAN_RDCNY1,43.21,71.74
-101.184903,33.979043,-28.910000000000004,COTPLNS_RN,43.01,71.92
-101.157666,32.889822,-28.480000000000004,FLUVANNA_1_2,43.17,71.65
-101.15380999999999,35.40226,-28.990000000000002,PH1_UNIT1_2,42.99,71.98
-101.146911,32.949884,-28.53,BRAZ_WND_ALL,43.22,71.75
-101.132693,33.95036,-28.770000000000003,WEC_WECG1,43.1,71.87
-101.057678,29.449941,-20.46,AMISTAD_ALL,50.57,71.03
-100.992187,33.745055,-28.849999999999994,WAKEWE_ALL,43.03,71.88
-100.975986,32.864857,-28.559999999999995,DERMOTT_ALL,43.15,71.71
-100.972712,33.751761,-28.64,MWEC_G1,43.16,71.8
-100.928076,31.926188,-28.050000000000004,CAPRIDG4_CR4,43.49,71.54
-100.915765,32.33599,-28.489999999999995,MGSES_CT123,43.31,71.8
-100.888395,34.987137,-28.990000000000002,SLTFRK_UN1_2,42.99,71.98
